day,price
1886,11113.96
1887,12058.17
1888,12990.87
1889,13163
1890,12638.77
1891,12407.13
1892,13248.6
1893,12965.83
1894,14056.4
1895,15052.93
1896,13859.75
1897,13133.5
1898,12961.79
1899,12985.99
1900,12057.94
1901,11999.39
1902,11253.2
1903,11170.72
1904,10485.57
1905,11798.51
1906,11099.63
1907,12119.86
1908,12204.68
1909,11339.13
1910,10709.91
1911,11574.94
1912,10964.77
1913,9500.27
1914,9478.75
1915,10671.63
1916,11975.4
1917,11591.01
1918,11069.7
1919,11270.1
1920,11207.74
1921,10601.04
1922,12718.27
1923,11913.98
1924,11386.15
1925,11597.89
1926,11578.87
1927,12314.11
1928,12727.5
1929,12215.76
1930,12440.92
1931,12206.07
1932,12684.82
1933,12989.06
1934,12119.65
1935,11895.57
1936,10876.1
1937,10664.31
1938,10602.52
1939,10566.47
1940,10666.63
1941,10880.67
1942,11434.77
1943,10456.47
1944,10639.22
1945,10538.49
1946,10594.56
1947,10192.76
1948,10165.31
1949,9987.46
1950,9351.22
1951,8629.03
1952,8830.71
1953,9032.86
1954,8948.23
1955,9356.65
1956,9114.85
1957,9357.94
1958,8773.9
1959,8581.46
1960,8434.46
1961,8232.6
1962,8152.6
1963,7980.88
1964,8160.03
1965,8001.75
1966,8120.47
1967,8070.62
1968,7817.75
1969,7600.91
1970,7372.88
1971,7196.56
1972,7154
1973,6944.3
1974,6937.02
1975,6811.48
1976,6965.71
1977,7030.4
1978,6745.41
1979,6520.57
1980,6211.11
1981,6158.95
1982,6232.03
1983,6437.01
1984,6723.47
1985,7228.2
1986,6688.76
1987,6857.74
1988,7407.45
1989,6971.41
1990,6918.86
1991,6917.77
1992,6698.65
1993,6253.97
1994,6537.19
1995,6632.86
1996,6444.5
1997,6467.89
1998,6219.01
1999,6326.62
2000,6281.55
2001,6851.84
2002,6403.48
2003,6176.54
2004,6020.56
2005,5714.61
2006,5506.93
2007,5789.53
2008,5673.92
2009,5604.82
2010,5204.73
2011,4980.6
2012,4719.76
2013,4786.12
2014,4438.35
2015,4064.5
2016,4534.41
2017,4552.78
2018,4443.89
2019,4348.61
2020,4364.41
2021,4447.14
2022,4605.53
2023,4733.16
2024,4988.32
2025,5312.5
2026,5222
2027,4655.09
2028,5059.04
2029,4983.44
2030,4651.79
2031,4791.61
2032,4758.3
2033,4599.63
2034,4798.55
2035,4608.12
2036,4345.25
2037,4223.73
2038,4220.18
2039,4305.5
2040,4205.15
2041,4200.39
2042,4348.37
2043,4573.85
2044,4438.44
2045,4474.55
2046,4664.83
2047,4441.38
2048,4602.95
2049,4913.95
2050,5094.97
2051,5201.47
2052,5579.74
2053,5995.43
2054,5198.49
2055,5345.14
2056,5313.31
2057,5207.37
2058,5258.52
2059,4950.02
2060,5469.31
2061,5544.55
2062,5913.84
2063,5757.48
2064,5504.69
2065,5090.66
2066,5037.34
2067,4746.5
2068,5286.83
2069,5100.02
2070,5357.16
2071,5010.25
2072,4717.42
2073,4333.8
2074,4347.95
2075,4060
2076,4624.65
2077,4341.75
2078,4452.07
2079,4321.11
2080,4311.31
2081,4243.51
2082,3926.99
2083,3666.52
2084,3580.86
2085,3750.64
2086,3673.33
2087,3672.88
2088,3812.12
2089,3663.14
2090,3692.7
2091,3470.84
2092,3459.61
2093,3325.35
2094,3343.21
2095,3262.79
2096,3429.78
2097,3716.34
2098,3897.96
2099,3765.63
2100,3438.39
2101,3355.78
2102,3497.05
2103,3566.59
2104,3525.25
2105,3377.7
2106,3135.17
2107,3070.87
2108,3198.08
2109,3058.61
2110,3016.3
2111,2993.7
2112,2930.9
2113,3049.17
2114,3041.95
2115,2999.38
2116,2904.17
2117,2905.06
2118,2983.51
2119,3023.23
2120,3071.02
2121,2958.21
2122,2993.88
2123,3023.4
2124,3061.93
2125,3124.23
2126,3007.18
2127,2952.72
2128,2883.98
2129,2595.34
2130,2446.54
2131,2617.52
2132,2603.21
2133,2491.68
2134,2333.27
2135,2461.75
2136,2385.81
2137,2299.43
2138,2271.08
2139,2320.34
2140,2273.8
2141,2249.96
2142,2410.6
2143,2491.93
2144,2283.81
2145,2324.93
2146,2384.5
2147,2336.84
2148,2313.53
2149,2247.52
2150,2232.99
2151,2253.01
2152,2345.88
2153,2357.33
2154,2279.46
2155,2338.6
2156,2225.81
2157,2175.04
2158,2136.04
2159,2167.59
2160,2283.31
2161,2248.62
2162,2476.01
2163,2422.12
2164,2372.37
2165,2367.81
2166,2453.15
2167,2212.7
2168,2316.73
2169,2354.93
2170,2237.59
2171,2437.78
2172,2404.77
2173,2433.64
2174,2266
2175,2247.09
2176,2350.19
2177,2370.04
2178,2245.58
2179,2047.82
